agency,site,date_time,flow,comments
USGS,conoco,2019-06-01T04:00:00Z,754,
USGS,conoco,2019-06-02T04:00:00Z,1020,
USGS,conoco,2019-06-03T04:00:00Z,1250,
USGS,conoco,2019-06-04T04:00:00Z,833,
USGS,conoco,2019-06-05T04:00:00Z,720,
USGS,conoco,2019-06-06T04:00:00Z,671,
USGS,conoco,2019-06-07T04:00:00Z,619,
USGS,conoco,2019-06-08T04:00:00Z,572,
USGS,conoco,2019-06-09T04:00:00Z,530,
USGS,conoco,2019-06-10T04:00:00Z,512,
USGS,conoco,2019-06-11T04:00:00Z,658,
USGS,conoco,2019-06-12T04:00:00Z,549,
USGS,conoco,2019-06-13T04:00:00Z,517,
USGS,conoco,2019-06-14T04:00:00Z,578,
USGS,conoco,2019-06-15T04:00:00Z,510,
USGS,conoco,2019-06-16T04:00:00Z,461,
USGS,conoco,2019-06-17T04:00:00Z,440,
USGS,conoco,2019-06-18T04:00:00Z,461,
USGS,conoco,2019-06-19T04:00:00Z,504,
USGS,conoco,2019-06-20T04:00:00Z,512,
USGS,conoco,2019-06-21T04:00:00Z,654,
USGS,conoco,2019-06-22T04:00:00Z,496,
USGS,conoco,2019-06-23T04:00:00Z,419,
USGS,conoco,2019-06-24T04:00:00Z,386,
USGS,conoco,2019-06-25T04:00:00Z,434,
USGS,conoco,2019-06-26T04:00:00Z,434,
USGS,conoco,2019-06-27T04:00:00Z,375,
USGS,conoco,2019-06-28T04:00:00Z,347,
USGS,conoco,2019-06-29T04:00:00Z,341,
USGS,conoco,2019-06-30T04:00:00Z,370,
USGS,conoco,2019-07-01T04:00:00Z,330,
USGS,conoco,2019-07-02T04:00:00Z,303,
USGS,goose,2019-06-01T04:00:00Z,318,
USGS,goose,2019-06-02T04:00:00Z,305,
USGS,goose,2019-06-03T04:00:00Z,336,
USGS,goose,2019-06-04T04:00:00Z,296,
USGS,goose,2019-06-05T04:00:00Z,287,
USGS,goose,2019-06-06T04:00:00Z,290,
USGS,goose,2019-06-07T04:00:00Z,259,
USGS,goose,2019-06-08T04:00:00Z,236,
USGS,goose,2019-06-09T04:00:00Z,234,
USGS,goose,2019-06-10T04:00:00Z,304,
USGS,goose,2019-06-11T04:00:00Z,320,
USGS,goose,2019-06-12T04:00:00Z,268,
USGS,goose,2019-06-13T04:00:00Z,415,
USGS,goose,2019-06-14T04:00:00Z,420,
USGS,goose,2019-06-15T04:00:00Z,288,
USGS,goose,2019-06-16T04:00:00Z,270,
USGS,goose,2019-06-17T04:00:00Z,259,
USGS,goose,2019-06-18T04:00:00Z,311,
USGS,goose,2019-06-19T04:00:00Z,275,
USGS,goose,2019-06-20T04:00:00Z,256,
USGS,goose,2019-06-21T04:00:00Z,225,
USGS,goose,2019-06-22T04:00:00Z,197,
USGS,goose,2019-06-23T04:00:00Z,177,
USGS,goose,2019-06-24T04:00:00Z,170,
USGS,goose,2019-06-25T04:00:00Z,229,
USGS,goose,2019-06-26T04:00:00Z,225,
USGS,goose,2019-06-27T04:00:00Z,183,
USGS,goose,2019-06-28T04:00:00Z,219,
USGS,goose,2019-06-29T04:00:00Z,171,
USGS,goose,2019-06-30T04:00:00Z,173,
USGS,goose,2019-07-01T04:00:00Z,155,
USGS,goose,2019-07-02T04:00:00Z,139,
USGS,mon_jug,2019-06-01T04:00:00Z,956,
USGS,mon_jug,2019-06-02T04:00:00Z,853,
USGS,mon_jug,2019-06-03T04:00:00Z,994,
USGS,mon_jug,2019-06-04T04:00:00Z,855,
USGS,mon_jug,2019-06-05T04:00:00Z,727,
USGS,mon_jug,2019-06-06T04:00:00Z,695,
USGS,mon_jug,2019-06-07T04:00:00Z,662,
USGS,mon_jug,2019-06-08T04:00:00Z,631,
USGS,mon_jug,2019-06-09T04:00:00Z,597,
USGS,mon_jug,2019-06-10T04:00:00Z,589,
USGS,mon_jug,2019-06-11T04:00:00Z,648,
USGS,mon_jug,2019-06-12T04:00:00Z,634,
USGS,mon_jug,2019-06-13T04:00:00Z,1010,
USGS,mon_jug,2019-06-14T04:00:00Z,2000,
USGS,mon_jug,2019-06-15T04:00:00Z,1040,
USGS,mon_jug,2019-06-16T04:00:00Z,727,
USGS,mon_jug,2019-06-17T04:00:00Z,729,
USGS,mon_jug,2019-06-18T04:00:00Z,647,
USGS,mon_jug,2019-06-19T04:00:00Z,631,
USGS,mon_jug,2019-06-20T04:00:00Z,796,
USGS,mon_jug,2019-06-21T04:00:00Z,617,
USGS,mon_jug,2019-06-22T04:00:00Z,539,
USGS,mon_jug,2019-06-23T04:00:00Z,489,
USGS,mon_jug,2019-06-24T04:00:00Z,460,
USGS,mon_jug,2019-06-25T04:00:00Z,607,
USGS,mon_jug,2019-06-26T04:00:00Z,797,
USGS,mon_jug,2019-06-27T04:00:00Z,526,
USGS,mon_jug,2019-06-28T04:00:00Z,445,
USGS,mon_jug,2019-06-29T04:00:00Z,411,
USGS,mon_jug,2019-06-30T04:00:00Z,413,
USGS,mon_jug,2019-07-01T04:00:00Z,410,
USGS,mon_jug,2019-07-02T04:00:00Z,388,
USGS,barnum,2019-06-01T04:00:00Z,407,
USGS,barnum,2019-06-02T04:00:00Z,394,
USGS,barnum,2019-06-03T04:00:00Z,386,
USGS,barnum,2019-06-04T04:00:00Z,393,
USGS,barnum,2019-06-05T04:00:00Z,689,
USGS,barnum,2019-06-06T04:00:00Z,808,
USGS,barnum,2019-06-07T04:00:00Z,547,
USGS,barnum,2019-06-08T04:00:00Z,413,
USGS,barnum,2019-06-09T04:00:00Z,414,
USGS,barnum,2019-06-10T04:00:00Z,707,
USGS,barnum,2019-06-11T04:00:00Z,814,
USGS,barnum,2019-06-12T04:00:00Z,503,
USGS,barnum,2019-06-13T04:00:00Z,367,
USGS,barnum,2019-06-14T04:00:00Z,358,
USGS,barnum,2019-06-15T04:00:00Z,358,
USGS,barnum,2019-06-16T04:00:00Z,358,
USGS,barnum,2019-06-17T04:00:00Z,359,
USGS,barnum,2019-06-18T04:00:00Z,354,
USGS,barnum,2019-06-19T04:00:00Z,352,
USGS,barnum,2019-06-20T04:00:00Z,355,
USGS,barnum,2019-06-21T04:00:00Z,356,
USGS,barnum,2019-06-22T04:00:00Z,356,
USGS,barnum,2019-06-23T04:00:00Z,342,
USGS,barnum,2019-06-24T04:00:00Z,331,
USGS,barnum,2019-06-25T04:00:00Z,331,
USGS,barnum,2019-06-26T04:00:00Z,330,
USGS,barnum,2019-06-27T04:00:00Z,321,
USGS,barnum,2019-06-28T04:00:00Z,307,
USGS,barnum,2019-06-29T04:00:00Z,309,
USGS,barnum,2019-06-30T04:00:00Z,2150,
USGS,barnum,2019-07-01T04:00:00Z,2740,
USGS,barnum,2019-07-02T04:00:00Z,1720,
USGS,kitzmiller,2019-06-01T04:00:00Z,262,
USGS,kitzmiller,2019-06-02T04:00:00Z,790,
USGS,kitzmiller,2019-06-03T04:00:00Z,807,
USGS,kitzmiller,2019-06-04T04:00:00Z,423,
USGS,kitzmiller,2019-06-05T04:00:00Z,355,
USGS,kitzmiller,2019-06-06T04:00:00Z,656,
USGS,kitzmiller,2019-06-07T04:00:00Z,426,
USGS,kitzmiller,2019-06-08T04:00:00Z,349,
USGS,kitzmiller,2019-06-09T04:00:00Z,309,
USGS,kitzmiller,2019-06-10T04:00:00Z,498,
USGS,kitzmiller,2019-06-11T04:00:00Z,733,
USGS,kitzmiller,2019-06-12T04:00:00Z,422,
USGS,kitzmiller,2019-06-13T04:00:00Z,431,
USGS,kitzmiller,2019-06-14T04:00:00Z,621,
USGS,kitzmiller,2019-06-15T04:00:00Z,506,
USGS,kitzmiller,2019-06-16T04:00:00Z,412,
USGS,kitzmiller,2019-06-17T04:00:00Z,420,
USGS,kitzmiller,2019-06-18T04:00:00Z,392,
USGS,kitzmiller,2019-06-19T04:00:00Z,362,
USGS,kitzmiller,2019-06-20T04:00:00Z,293,
USGS,kitzmiller,2019-06-21T04:00:00Z,442,
USGS,kitzmiller,2019-06-22T04:00:00Z,365,
USGS,kitzmiller,2019-06-23T04:00:00Z,272,
USGS,kitzmiller,2019-06-24T04:00:00Z,263,
USGS,kitzmiller,2019-06-25T04:00:00Z,467,
USGS,kitzmiller,2019-06-26T04:00:00Z,289,
USGS,kitzmiller,2019-06-27T04:00:00Z,231,
USGS,kitzmiller,2019-06-28T04:00:00Z,203,
USGS,kitzmiller,2019-06-29T04:00:00Z,172,
USGS,kitzmiller,2019-06-30T04:00:00Z,5640,
USGS,kitzmiller,2019-07-01T04:00:00Z,1180,
USGS,kitzmiller,2019-07-02T04:00:00Z,834,
USGS,luke,2019-06-01T04:00:00Z,875,
USGS,luke,2019-06-02T04:00:00Z,593,
USGS,luke,2019-06-03T04:00:00Z,577,
USGS,luke,2019-06-04T04:00:00Z,533,
USGS,luke,2019-06-05T04:00:00Z,781,
USGS,luke,2019-06-06T04:00:00Z,925,
USGS,luke,2019-06-07T04:00:00Z,697,
USGS,luke,2019-06-08T04:00:00Z,535,
USGS,luke,2019-06-09T04:00:00Z,539,
USGS,luke,2019-06-10T04:00:00Z,810,
USGS,luke,2019-06-11T04:00:00Z,935,
USGS,luke,2019-06-12T04:00:00Z,651,
USGS,luke,2019-06-13T04:00:00Z,490,
USGS,luke,2019-06-14T04:00:00Z,473,
USGS,luke,2019-06-15T04:00:00Z,467,
USGS,luke,2019-06-16T04:00:00Z,466,
USGS,luke,2019-06-17T04:00:00Z,475,
USGS,luke,2019-06-18T04:00:00Z,469,
USGS,luke,2019-06-19T04:00:00Z,473,
USGS,luke,2019-06-20T04:00:00Z,484,
USGS,luke,2019-06-21T04:00:00Z,482,
USGS,luke,2019-06-22T04:00:00Z,490,
USGS,luke,2019-06-23T04:00:00Z,485,
USGS,luke,2019-06-24T04:00:00Z,479,
USGS,luke,2019-06-25T04:00:00Z,487,
USGS,luke,2019-06-26T04:00:00Z,470,
USGS,luke,2019-06-27T04:00:00Z,458,
USGS,luke,2019-06-28T04:00:00Z,438,
USGS,luke,2019-06-29T04:00:00Z,462,
USGS,luke,2019-06-30T04:00:00Z,2890,
USGS,luke,2019-07-01T04:00:00Z,3440,
USGS,luke,2019-07-02T04:00:00Z,2250,
USGS,nbp_cumb,2019-06-01T04:00:00Z,1230,
USGS,nbp_cumb,2019-06-02T04:00:00Z,1170,
USGS,nbp_cumb,2019-06-03T04:00:00Z,1080,
USGS,nbp_cumb,2019-06-04T04:00:00Z,949,
USGS,nbp_cumb,2019-06-05T04:00:00Z,903,
USGS,nbp_cumb,2019-06-06T04:00:00Z,1220,
USGS,nbp_cumb,2019-06-07T04:00:00Z,1180,
USGS,nbp_cumb,2019-06-08T04:00:00Z,834,
USGS,nbp_cumb,2019-06-09T04:00:00Z,804,
USGS,nbp_cumb,2019-06-10T04:00:00Z,984,
USGS,nbp_cumb,2019-06-11T04:00:00Z,1360,
USGS,nbp_cumb,2019-06-12T04:00:00Z,1170,
USGS,nbp_cumb,2019-06-13T04:00:00Z,821,
USGS,nbp_cumb,2019-06-14T04:00:00Z,825,
USGS,nbp_cumb,2019-06-15T04:00:00Z,747,
USGS,nbp_cumb,2019-06-16T04:00:00Z,714,
USGS,nbp_cumb,2019-06-17T04:00:00Z,787,
USGS,nbp_cumb,2019-06-18T04:00:00Z,773,
USGS,nbp_cumb,2019-06-19T04:00:00Z,759,
USGS,nbp_cumb,2019-06-20T04:00:00Z,1760,
USGS,nbp_cumb,2019-06-21T04:00:00Z,1360,
USGS,nbp_cumb,2019-06-22T04:00:00Z,1070,
USGS,nbp_cumb,2019-06-23T04:00:00Z,935,
USGS,nbp_cumb,2019-06-24T04:00:00Z,849,
USGS,nbp_cumb,2019-06-25T04:00:00Z,1020,
USGS,nbp_cumb,2019-06-26T04:00:00Z,846,
USGS,nbp_cumb,2019-06-27T04:00:00Z,756,
USGS,nbp_cumb,2019-06-28T04:00:00Z,722,
USGS,nbp_cumb,2019-06-29T04:00:00Z,667,
USGS,nbp_cumb,2019-06-30T04:00:00Z,1790,
USGS,nbp_cumb,2019-07-01T04:00:00Z,3870,
USGS,nbp_cumb,2019-07-02T04:00:00Z,2890,
USGS,opequan,2019-06-01T04:00:00Z,277,
USGS,opequan,2019-06-02T04:00:00Z,279,
USGS,opequan,2019-06-03T04:00:00Z,270,
USGS,opequan,2019-06-04T04:00:00Z,252,
USGS,opequan,2019-06-05T04:00:00Z,244,
USGS,opequan,2019-06-06T04:00:00Z,249,
USGS,opequan,2019-06-07T04:00:00Z,242,
USGS,opequan,2019-06-08T04:00:00Z,232,
USGS,opequan,2019-06-09T04:00:00Z,227,
USGS,opequan,2019-06-10T04:00:00Z,241,
USGS,opequan,2019-06-11T04:00:00Z,253,
USGS,opequan,2019-06-12T04:00:00Z,229,
USGS,opequan,2019-06-13T04:00:00Z,248,
USGS,opequan,2019-06-14T04:00:00Z,265,
USGS,opequan,2019-06-15T04:00:00Z,232,
USGS,opequan,2019-06-16T04:00:00Z,220,
USGS,opequan,2019-06-17T04:00:00Z,217,
USGS,opequan,2019-06-18T04:00:00Z,204,
USGS,opequan,2019-06-19T04:00:00Z,203,
USGS,opequan,2019-06-20T04:00:00Z,201,
USGS,opequan,2019-06-21T04:00:00Z,194,
USGS,opequan,2019-06-22T04:00:00Z,188,
USGS,opequan,2019-06-23T04:00:00Z,181,
USGS,opequan,2019-06-24T04:00:00Z,177,
USGS,opequan,2019-06-25T04:00:00Z,223,
USGS,opequan,2019-06-26T04:00:00Z,204,
USGS,opequan,2019-06-27T04:00:00Z,185,
USGS,opequan,2019-06-28T04:00:00Z,189,
USGS,opequan,2019-06-29T04:00:00Z,187,
USGS,opequan,2019-06-30T04:00:00Z,198,
USGS,opequan,2019-07-01T04:00:00Z,173,
USGS,opequan,2019-07-02T04:00:00Z,166,
USGS,hanc,2019-06-01T04:00:00Z,2890,
USGS,hanc,2019-06-02T04:00:00Z,2890,
USGS,hanc,2019-06-03T04:00:00Z,2840,
USGS,hanc,2019-06-04T04:00:00Z,2630,
USGS,hanc,2019-06-05T04:00:00Z,2360,
USGS,hanc,2019-06-06T04:00:00Z,2130,
USGS,hanc,2019-06-07T04:00:00Z,2360,
USGS,hanc,2019-06-08T04:00:00Z,2340,
USGS,hanc,2019-06-09T04:00:00Z,1960,
USGS,hanc,2019-06-10T04:00:00Z,1850,
USGS,hanc,2019-06-11T04:00:00Z,2100,
USGS,hanc,2019-06-12T04:00:00Z,2820,
USGS,hanc,2019-06-13T04:00:00Z,2900,
USGS,hanc,2019-06-14T04:00:00Z,2350,
USGS,hanc,2019-06-15T04:00:00Z,2140,
USGS,hanc,2019-06-16T04:00:00Z,1930,
USGS,hanc,2019-06-17T04:00:00Z,1850,
